Time,02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02PLENUM:VOID:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02PLENUM:VOID:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXNE:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXNE:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXN:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXN:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Load [W],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Sens Cool Load [W],02FFE:OFFICEXMEETXSEXLED:WINTER DESIGN DAY IN INOVO TEST (01-05:20-06):Des Heat Mass Flow [kg/s],02FFE:OFFICEXMEETXSEXLED:SUMMER DESIGN DAY IN INOVO TEST (01-05:20-06) JUL:Des Cool Mass Flow [kg/s]
00:33:00,1.075733E+05,0.000000E+00,6.093405E+00,0.000000E+00,2.178434E+03,0.000000E+00,1.618508E-01,0.000000E+00,2.220129E+04,0.000000E+00,1.649565E+00,0.000000E+00,2.387903E+03,0.000000E+00,1.774262E-01,0.000000E+00,1.314944E+03,0.000000E+00,9.770916E-02,0.000000E+00,6.468348E+02,0.000000E+00,4.806157E-02,0.000000E+00,3.306177E+03,0.000000E+00,2.456566E-01,0.000000E+00,1.235562E+04,0.000000E+00,9.180127E-01,0.000000E+00,5.225737E+02,0.000000E+00,3.886139E-02,0.000000E+00
00:36:00,1.075739E+05,0.000000E+00,6.093441E+00,0.000000E+00,2.178437E+03,0.000000E+00,1.618510E-01,0.000000E+00,2.220135E+04,0.000000E+00,1.649569E+00,0.000000E+00,2.387908E+03,0.000000E+00,1.774267E-01,0.000000E+00,1.314948E+03,0.000000E+00,9.770942E-02,0.000000E+00,6.468364E+02,0.000000E+00,4.806169E-02,0.000000E+00,3.306185E+03,0.000000E+00,2.456572E-01,0.000000E+00,1.235564E+04,0.000000E+00,9.180147E-01,0.000000E+00,5.225765E+02,0.000000E+00,3.886160E-02,0.000000E+00
00:39:00,1.075745E+05,0.000000E+00,6.093476E+00,0.000000E+00,2.178441E+03,0.000000E+00,1.618513E-01,0.000000E+00,2.220140E+04,0.000000E+00,1.649573E+00,0.000000E+00,2.387914E+03,0.000000E+00,1.774271E-01,0.000000E+00,1.314951E+03,0.000000E+00,9.770967E-02,0.000000E+00,6.468380E+02,0.000000E+00,4.806182E-02,0.000000E+00,3.306193E+03,0.000000E+00,2.456578E-01,0.000000E+00,1.235567E+04,0.000000E+00,9.180168E-01,0.000000E+00,5.225794E+02,0.000000E+00,3.886181E-02,0.000000E+00
00:42:00,1.075751E+05,0.000000E+00,6.093512E+00,0.000000E+00,2.178444E+03,0.000000E+00,1.618516E-01,0.000000E+00,2.220145E+04,0.000000E+00,1.649577E+00,0.000000E+00,2.387920E+03,0.000000E+00,1.774275E-01,0.000000E+00,1.314955E+03,0.000000E+00,9.770993E-02,0.000000E+00,6.468397E+02,0.000000E+00,4.806194E-02,0.000000E+00,3.306201E+03,0.000000E+00,2.456584E-01,0.000000E+00,1.235570E+04,0.000000E+00,9.180188E-01,0.000000E+00,5.225822E+02,0.000000E+00,3.886202E-02,0.000000E+00
00:45:00,1.075758E+05,0.000000E+00,6.093548E+00,0.000000E+00,2.178448E+03,0.000000E+00,1.618518E-01,0.000000E+00,2.220151E+04,0.000000E+00,1.649581E+00,0.000000E+00,2.387926E+03,0.000000E+00,1.774279E-01,0.000000E+00,1.314958E+03,0.000000E+00,9.771018E-02,0.000000E+00,6.468413E+02,0.000000E+00,4.806206E-02,0.000000E+00,3.306209E+03,0.000000E+00,2.456590E-01,0.000000E+00,1.235573E+04,0.000000E+00,9.180208E-01,0.000000E+00,5.225851E+02,0.000000E+00,3.886223E-02,0.000000E+00
00:48:00,1.075764E+05,0.000000E+00,6.093583E+00,0.000000E+00,2.178451E+03,0.000000E+00,1.618521E-01,0.000000E+00,2.220156E+04,0.000000E+00,1.649585E+00,0.000000E+00,2.387931E+03,0.000000E+00,1.774284E-01,0.000000E+00,1.314962E+03,0.000000E+00,9.771044E-02,0.000000E+00,6.468430E+02,0.000000E+00,4.806218E-02,0.000000E+00,3.306217E+03,0.000000E+00,2.456596E-01,0.000000E+00,1.235575E+04,0.000000E+00,9.180229E-01,0.000000E+00,5.225879E+02,0.000000E+00,3.886245E-02,0.000000E+00
00:51:00,1.075770E+05,0.000000E+00,6.093619E+00,0.000000E+00,2.178454E+03,0.000000E+00,1.618523E-01,0.000000E+00,2.220161E+04,0.000000E+00,1.649588E+00,0.000000E+00,2.387937E+03,0.000000E+00,1.774288E-01,0.000000E+00,1.314965E+03,0.000000E+00,9.771070E-02,0.000000E+00,6.468446E+02,0.000000E+00,4.806231E-02,0.000000E+00,3.306225E+03,0.000000E+00,2.456601E-01,0.000000E+00,1.235578E+04,0.000000E+00,9.180249E-01,0.000000E+00,5.225907E+02,0.000000E+00,3.886266E-02,0.000000E+00
00:54:00,1.075776E+05,0.000000E+00,6.093654E+00,0.000000E+00,2.178458E+03,0.000000E+00,1.618526E-01,0.000000E+00,2.220167E+04,0.000000E+00,1.649592E+00,0.000000E+00,2.387943E+03,0.000000E+00,1.774292E-01,0.000000E+00,1.314968E+03,0.000000E+00,9.771095E-02,0.000000E+00,6.468463E+02,0.000000E+00,4.806243E-02,0.000000E+00,3.306232E+03,0.000000E+00,2.456607E-01,0.000000E+00,1.235581E+04,0.000000E+00,9.180269E-01,0.000000E+00,5.225936E+02,0.000000E+00,3.886287E-02,0.000000E+00
00:57:00,1.075783E+05,0.000000E+00,6.093689E+00,0.000000E+00,2.178461E+03,0.000000E+00,1.618528E-01,0.000000E+00,2.220172E+04,0.000000E+00,1.649596E+00,0.000000E+00,2.387949E+03,0.000000E+00,1.774297E-01,0.000000E+00,1.314972E+03,0.000000E+00,9.771120E-02,0.000000E+00,6.468479E+02,0.000000E+00,4.806255E-02,0.000000E+00,3.306240E+03,0.000000E+00,2.456613E-01,0.000000E+00,1.235584E+04,0.000000E+00,9.180290E-01,0.000000E+00,5.225964E+02,0.000000E+00,3.886308E-02,0.000000E+00
01:00:00,1.075789E+05,0.000000E+00,6.093725E+00,0.000000E+00,2.178465E+03,0.000000E+00,1.618531E-01,0.000000E+00,2.220177E+04,0.000000E+00,1.649600E+00,0.000000E+00,2.387954E+03,0.000000E+00,1.774301E-01,0.000000E+00,1.314975E+03,0.000000E+00,9.771146E-02,0.000000E+00,6.468496E+02,0.000000E+00,4.806267E-02,0.000000E+00,3.306248E+03,0.000000E+00,2.456619E-01,0.000000E+00,1.235586E+04,0.000000E+00,9.180310E-01,0.000000E+00,5.225992E+02,0.000000E+00,3.886329E-02,0.000000E+00
